Symbol,Sector
TRV,Financials
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TSN,Consumer Staples
TT,Industrials
TTWO,Communication Services
TWTR,Communication Services
TXN,Information Technology
TXT,Industrials
TYL,Information Technology
UA,Consumer Discretionary
UAA,Consumer Discretionary
UAL,Industrials
UDR,Real Estate
UHS,Health Care
ULTA,Consumer Discretionary
UNH,Health Care
UNM,Financials
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,Financials
V,Information Technology
VAR,Health Care
VFC,Consumer Discretionary
VIAC,Communication Services
VLO,Energy
VMC,Materials
VNO,Real Estate
VNT,Information Technology
VRSK,Industrials
VRSN,Information Technology
VRTX,Health Care
VTR,Real Estate
VTRS,Health Care
VZ,Communication Services
WAB,Industrials
WAT,Health Care
WBA,Consumer Staples
WDC,Information Technology
WEC,Utilities
WELL,Real Estate
WFC,Financials
WHR,Consumer Discretionary
WLTW,Financials
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WRB,Financials
WRK,Materials
WST,Health Care
WU,Information Technology
WY,Real Estate
WYNN,Consumer Discretionary
XEL,Utilities
XLNX,Information Technology
XOM,Energy
XRAY,Health Care
XRX,Information Technology
XYL,Industrials
YUM,Consumer Discretionary
ZBH,Health Care
ZBRA,Information Technology
ZION,Financials
ZTS,Health Care
